AllgridID,longitude,latitude,x,y
16322,1.217640e+02,3.166780e+01,86,124
16323,1.217746e+02,3.166765e+01,87,124
16324,1.217851e+02,3.166750e+01,88,124
16325,1.217956e+02,3.166736e+01,89,124
16326,1.218062e+02,3.166721e+01,90,124
16327,1.218167e+02,3.166706e+01,91,124
16328,1.218273e+02,3.166691e+01,92,124
16329,1.218378e+02,3.166675e+01,93,124
16330,1.218483e+02,3.166660e+01,94,124
16331,1.218589e+02,3.166645e+01,95,124
16332,1.218694e+02,3.166630e+01,96,124
16333,1.218800e+02,3.166614e+01,97,124
16334,1.218905e+02,3.166598e+01,98,124
16335,1.219010e+02,3.166583e+01,99,124
16336,1.219116e+02,3.166567e+01,100,124
16337,1.219221e+02,3.166551e+01,101,124
16338,1.219326e+02,3.166535e+01,102,124
16339,1.219432e+02,3.166519e+01,103,124
16340,1.219537e+02,3.166503e+01,104,124
16341,1.219643e+02,3.166487e+01,105,124
16342,1.219748e+02,3.166471e+01,106,124
16343,1.219853e+02,3.166454e+01,107,124
16344,1.219959e+02,3.166438e+01,108,124
16345,1.220064e+02,3.166421e+01,109,124
16346,1.220170e+02,3.166405e+01,110,124
16347,1.220275e+02,3.166388e+01,111,124
16348,1.220380e+02,3.166371e+01,112,124
16349,1.220486e+02,3.166354e+01,113,124
16350,1.220591e+02,3.166337e+01,114,124
16351,1.220696e+02,3.166320e+01,115,124
16352,1.220802e+02,3.166303e+01,116,124
16353,1.220907e+02,3.166286e+01,117,124
16354,1.221012e+02,3.166269e+01,118,124
16355,1.221118e+02,3.166251e+01,119,124
16356,1.221223e+02,3.166234e+01,120,124
16357,1.221329e+02,3.166216e+01,121,124
16358,1.221434e+02,3.166199e+01,122,124
16359,1.221539e+02,3.166181e+01,123,124
16360,1.221645e+02,3.166163e+01,124,124
16361,1.221750e+02,3.166145e+01,125,124
16362,1.221855e+02,3.166127e+01,126,124
16363,1.221961e+02,3.166109e+01,127,124
16364,1.222066e+02,3.166091e+01,128,124
16365,1.222172e+02,3.166073e+01,129,124
16366,1.222277e+02,3.166054e+01,130,124
16367,1.222382e+02,3.166036e+01,131,124
16368,1.222488e+02,3.166017e+01,132,124
16369,1.208680e+02,3.168606e+01,1,125
16370,1.208785e+02,3.168599e+01,2,125
16371,1.208891e+02,3.168591e+01,3,125
16372,1.208996e+02,3.168584e+01,4,125
16373,1.209102e+02,3.168576e+01,5,125
16374,1.209207e+02,3.168569e+01,6,125
16375,1.209313e+02,3.168561e+01,7,125
16376,1.209418e+02,3.168553e+01,8,125
16377,1.209524e+02,3.168546e+01,9,125
16378,1.209629e+02,3.168538e+01,10,125
16379,1.209734e+02,3.168530e+01,11,125
16380,1.209840e+02,3.168522e+01,12,125
16381,1.209945e+02,3.168513e+01,13,125
16382,1.210051e+02,3.168505e+01,14,125
16383,1.210156e+02,3.168497e+01,15,125
16384,1.210262e+02,3.168488e+01,16,125
16385,1.210367e+02,3.168480e+01,17,125
16386,1.210473e+02,3.168471e+01,18,125
16387,1.210578e+02,3.168462e+01,19,125
16388,1.210684e+02,3.168454e+01,20,125
16389,1.210789e+02,3.168445e+01,21,125
16390,1.210894e+02,3.168436e+01,22,125
16391,1.211000e+02,3.168427e+01,23,125
16392,1.211105e+02,3.168418e+01,24,125
16393,1.211211e+02,3.168408e+01,25,125
16394,1.211316e+02,3.168399e+01,26,125
16395,1.211422e+02,3.168390e+01,27,125
16396,1.211527e+02,3.168380e+01,28,125
16397,1.211633e+02,3.168371e+01,29,125
16398,1.211738e+02,3.168361e+01,30,125
16399,1.211843e+02,3.168351e+01,31,125
16400,1.211949e+02,3.168341e+01,32,125
16401,1.212054e+02,3.168332e+01,33,125
16402,1.212160e+02,3.168322e+01,34,125
16403,1.212265e+02,3.168311e+01,35,125
16404,1.212371e+02,3.168301e+01,36,125
16405,1.212476e+02,3.168291e+01,37,125
16406,1.212582e+02,3.168281e+01,38,125
16407,1.212687e+02,3.168270e+01,39,125
16408,1.212792e+02,3.168260e+01,40,125
16409,1.212898e+02,3.168249e+01,41,125
16410,1.213003e+02,3.168238e+01,42,125
16411,1.213109e+02,3.168228e+01,43,125
16412,1.213214e+02,3.168217e+01,44,125
16413,1.213320e+02,3.168206e+01,45,125
16414,1.213425e+02,3.168195e+01,46,125
